afghanistan,Afghanistan,gr,x-gr,,33.93911,67.709953,7,AFG
albania,Albania,kr,x-kr,x115,41.153332,20.168331,8,ALB
algeria,Algeria,gw,x-gw,,28.033886,1.659626,6,ALG
americansamoa,American Samoa,wb,x-wb,,-14.2865811,-170.691288,12,ASA
andorra,Andorra,yr,x-yr,,42.546245,1.601554,12,AND
angola,Angola,yr,b-kyr,,-11.202692,17.873887,6,ANG
anguilla,Anguilla,wo,x-wo,,18.220554,-63.068615,12,AIA
antiguaandbarbuda,Antigua &amp; Barbuda,ky,x-ky,,17.060816,-61.796428,10,ATG
argentina,Argentina,hw,s-nhw,x007,-38.416097,-63.616672,5,ARG
armenia,Armenia,br,x-yr,,40.069099,45.038189,9,ARM
aruba,Aruba,hy,x-hy,,12.52111,-69.968338,12,ARU
australia,Australia,gy,x-gy,x049,-25.274398,133.775136,5,AUS
austria,Austria,kw,x-kw,x053,47.516231,14.550072,8,AUT
azerbaijan,Azerbaijan,bw,x-bw,,40.143105,47.576927,8,AZE
bahamas,Bahamas,hy,e-khy,,25.03428,-77.39628,8,BAH
bahrain,Bahrain,wr,x-wr,,26.0660156,50.5669447,11,BHR
bangladesh,Bangladesh,rg,x-rg,,23.684994,90.356331,8,BAN
barbados,Barbados,by,x-by,,13.193887,-59.543198,12,BRB
belarus,Belarus,gr,x-gr,,53.709807,27.953389,7,BLR
belgium,Belgium,kr,x-yr,x044,50.503887,4.469936,9,BEL
belize,Belize,wb,o-wbw,,17.189877,-88.49765,9,BLZ
benin,Benin,gr,b-gyr,,9.30769,2.315834,7,BEN
bermuda,Bermuda,wr,x-wr,,32.321384,-64.75737,12,BER
bhutan,Bhutan,oy,x-oy,,27.514162,90.433601,9,BHU
bolivia,Bolivia,wg,x-wg,,-16.290154,-63.588653,6,BOL
bosniaherzogovina~bosniaandherzegovina~bosnia,Bosnia-Herzegovina,wb,x-wb,,43.915886,17.679076,8,BIH
botswana,Botswana,wf,b-wkf,,-22.328474,24.684866,7,BOT
brazil,Brazil,gy,b-bgy,x066,-14.235004,-51.92528,5,BRA
britishvirginislands,British Virgin Islands,yg,x-yg,,18.420695,-64.639968,12,VGB
brunei,Brunei,ky,x-ky,,4.535277,114.727669,10,BRU
bulgaria,Bulgaria,gw,e-grw,,42.733883,25.48583,8,BUL
burkinafaso,Burkina Faso,rg,x-rg,,12.238333,-1.561593,8,BFA
burundi,Burundi,wr,x-wr,,-3.373056,29.918886,9,BDI
cambodia,Cambodia,br,s-wbr,,12.565679,104.990963,8,CAM
cameroon,Cameroon,rg,e-ryg,x155,6.9002495,12.5112099,7,CMR
canada,Canada,rw,x-rw,,53.407718,-93.3305333,5,CAN
capeverde,Cape Verde,wb,x-rb,,16.002082,-24.013197,8,CPV
caymanislands,Cayman Islands,rw,b-rrw,,19.513469,-80.566956,8,CAY
centralafricanrepublic,Central African Republic,bw,x-bw,,6.611111,20.939444,7,CTA
chad,Chad,yb,e-yrb,,15.454166,18.732207,6,CHA
chile,Chile,br,x-br,x008,-39.6621958,-68.1035219,5,CHI
china,China,yr,x-yr,,35.1053201,104.0968338,5,CHN
colombia,Colombia,by,e-rby,x069,4.570868,-74.297333,6,COL
comoros,Comoros,wg,x-wg,,-11.875001,43.872219,10,COM
congo,Congo,wr,x-wr,,-4.038333,21.758664,6,CGO
congodr~drcongo,Congo DR,ra,e-ura,,-0.228021,15.827659,7,COD
cookislands,Cook Islands,wg,x-wg,,-21.236736,-159.777671,8,COK
costarica,Costa Rica,rb,x-br,x070,9.748917,-83.753428,8,CRC
croatia,Croatia,rw,z-brw,x071,45.1,15.2,8,CRO
cuba,Cuba,wr,x-wr,,21.521757,-77.781167,7,CUB
curacao,Cura&ccedil;ao,yb,x-yb,,12.2142767,-68.9874252,11,CUW
cyprus,Cyprus,bw,x-bw,,35.126413,33.429859,9,CYP
czechoslovakia,Czechoslovakia,wr,x-wr,x191,,,8,CZS
czechrepublic,Czech Republic,wr,x-wr,x072,49.817492,15.472962,8,CZE
denmark,Denmark,wr,x-wr,x192,56.26392,9.501785,8,DEN
djibouti,Djibouti,wf,x-wf,,11.825138,42.590275,9,DJI
dominica,Dominica,kg,b-kyg,,15.414999,-61.370976,9,DMA
dominicanrepublic~dominicanrep,Dominican Republic,rb,x-rb,,18.735693,-70.162651,8,DOM
ecuador,Ecuador,by,d-nyn,,-1.831239,-78.183406,7,ECU
egypt,Egypt,wr,x-wr,x275,26.820553,30.802498,7,EGY
elsalvador,El Salvador,wb,x-wb,,13.794185,-88.89653,9,SLV
england,England,rw,x-rw,x003,52.9360456,-1.1769437,7,ENG
equatorialguinea,Equitorial Guinea,wr,x-wr,,1.650801,10.267895,9,EQG
eritrea,Eritrea,gr,x-gr,,15.179384,39.782334,7,ERI
estonia,Estonia,wb,b-wkb,,58.595272,25.013607,8,EST
eswatini~swaziland,eSwatini,yb,x-yb,,-26.522503,31.465866,9,SWZ
ethiopia,Ethiopia,yg,e-yrg,,9.145,40.489673,6,ETH
faroeislands,Faroe Islands,wb,x-wb,,61.892635,-6.911806,9,FRO
fiji,Fiji,kw,x-kw,,-16.578193,179.414413,8,FIJ
finland,Finland,bw,x-bw,,63.564159,25.075697,6,FIN
france,France,wb,x-wb,x045,46.227638,2.213749,6,FRA
frenchguiana,French Guiana,gy,e-bgy,,3.933889,-53.125782,8,GUF
gabon,The Gabon,by,x-by,,-0.803689,11.609444,7,GAB
gambia,The Gambia,gr,e-bgr,,13.443182,-15.310139,9,GAM
georgia,Georgia,rw,x-rw,,42.315407,43.356892,8,GEO
germany~westgermany,Germany,kw,x-kw,x004,51.165691,10.451526,6,GER
ghana,Ghana,kw,x-kw,,7.946527,-1.023194,7,GHA
gibraltar,Gibraltar,wr,x-wr,,36.1336328,-5.347292,14,GIB
greece,Greece,wb,x-wb,x202,39.074208,21.824312,7,GRE
grenada,Grenada,gy,x-gy,,12.262776,-61.604171,11,GRN
guadeloupe,Guadeloupe,rg,x-rg,,16.1711644,-61.5243846,10,GPE
guam,Guam,wb,x-wb,,13.444304,144.793731,11,GUM
guatemala,Guatemala,hw,d-hwh,,15.783471,-90.230759,8,GUA
guinea,Guinea,yr,e-ygr,,9.945587,-9.696645,8,GUI
guineabissau,Guinea-Bissau,gr,x-gr,,11.803749,-15.180413,9,GNB
guyana,Guyana,ry,e-gry,,4.860416,-58.93018,7,GUY
haiti,Haiti,rb,x-rb,,18.971187,-72.285215,9,HAI
honduras,Honduras,bw,x-bw,,15.199999,-86.241905,8,HON
hongkong,Hong Kong,wr,x-wr,,22.396428,114.109497,11,HKG
hungary,Hungary,wr,e-wgr,x116,47.162494,19.503304,8,HUN
iceland,Iceland,wb,x-wb,x117,64.963051,-19.020835,7,ISL
india,India,wf,x-wf,,20.593684,78.96288,5,IND
indonesia,Indonesia,wr,x-wr,,-0.789275,113.921327,6,IDN
iran,Iran,gw,x-gw,x079,32.427908,53.688046,6,IRN
iraq,Iraq,gw,x-gw,x209,33.223191,43.679291,7,IRQ
ireland,Ireland,wg,x-wg,x118,53.41291,-8.24389,7,IRL
israel,Israel,bw,x-bw,x210,31.046051,34.851612,8,ISR
italy,Italy,wb,x-wb,x046,41.87194,12.56738,6,ITA
ivorycoast,Ivory Coast,go,x-go,,7.539989,-5.54708,7,CIV
jamaica,Jamaica,ky,x-ky,,18.109581,-77.297508,6,JAM
japan,Japan,rw,x-rw,x006,36.204824,138.252924,6,JPN
jordan,Jordan,rw,x-rw,,30.585164,36.238414,8,JOR
kazakhstan,Kazakhstan,yb,x-yb,,48.019573,66.923684,6,KAZ
kenya,Kenya,gr,x-gr,,-0.023559,37.906193,7,KEN
koreadpr~northkorea,North Korea,kw,x-kw,,40.339852,127.510093,7,PRK
southkorea,South Korea,br,x-br,x109,35.907757,127.766922,6,KOR
kosovo,Kosovo,wb,x-wb,,42.602636,20.902977,9,KOS
kuwait,Kuwait,wb,x-wb,x212,29.31166,47.481766,9,KUW
kyrgyzstan,Kyrgyzstan,bw,x-bw,,41.20438,74.766098,8,KGZ
laos,Laos,br,x-br,,19.85627,102.495496,8,LAO
latvia,Latvia,wc,x-wc,,56.879635,24.603189,8,LVA
lebanon,Lebanon,wr,x-wr,,33.854721,35.862285,9,LIB
lesotho,Lesotho,gb,x-gb,,-29.609988,28.233608,9,LES
liberia,Liberia,wb,h-rwb,,6.428055,-9.429499,8,LBR
libya,Libya,kr,e-gkr,,26.3351,17.228331,6,LBY
liechtenstein,Liechtenstein,wr,x-wr,,47.166,9.555373,10,LIE
lithuania,Lithuania,gy,x-gy,,55.169438,23.881275,8,LTU
