			N,ALB,Albania,565,albania
			L,kategoriasuperiore,10,Kategoria Superiore,
			N,ALG,Algeria,410,algeria
			L,ligue1,10,Ligue 1,
			N,ARG,Argentina,270,argentina
			C,supercup,1,Supercopa Argentina,
			L,superliga,10,Primera Divisi&oacute;n,
			L,paulista,20,Paulista,
			L,primeranacionalzonaa,31,Primera Nacional Zona A,
			L,primeranacionalzonab,32,Primera Nacional Zona B,
L,primerabnacional,30,Primera B Nacional,
L,primerabnacionalfaseprimerascensozonaa,31,Primera B Nacional Ascenzo Zone A (Rnd. 1),
L,primerabnacionalfaseprimerascensozonab,31,Primera B Nacional Ascenzo Zone B (Rnd. 1),
L,primerabnacionalfasesegundoascensozonaa,31,Primera B Nacional Ascenzo Zone A (Rnd. 2),
L,primerabnacionalfasesegundoascensozonab,31,Primera B Nacional Ascenzo Zone B (Rnd. 2),
C,primerabnacionalchampionshipplayoff,31,Primera B Nacional Championship Playoff,
C,primerabnacionalpromotionplayoff,32,Primera B Nacional Promotion Playoff,
			L,primerabmetropolitana,30,Primera B Metropolitana,
			L,primerabmetropolitanaapertura,30,Primera B Metropolitana Apertura,
			C,primerabmetropolitanaclausura,30,Primera B Metropolitana Clausura,
			C,primerabmetropolitanachampionshipplayoff,31,Primera B Metropolitana Championship Playoff,
			C,primerabmetropolitanapromotionplayoff,31,Primera B Metropolitana Promotion Playoff,
			L,federalazonaa,61,Federal A Zona A,
			L,federalazonab,61,Federal A Zona B,
			L,federalazona1,61,Federal A Zona 1,
			L,federalazona2,61,Federal A Zona 2,
			L,federalazona3,61,Federal A Zona 3,
			L,federalazona4,61,Federal A Zona 4,
			L,federalazona5,61,Federal A Zona 5,
			L,federalazona6,61,Federal A Zona 6,
L,federala2ndstagenorth,62,Federal A 2nd Stage North,
L,federala2ndstagesouth,62,Federal A 2nd Stage South,
L,federalapromotionzonaa,62,Federal A Promotion Zona A,
L,federalapromotionzonab,62,Federal A Promotion Zona B,
L,federalarelegationzonaa,63,Federal A Relegation Zona A,
L,federalarelegationzonab,63,Federal A Relegation Zona B,
L,federalarelegationzonac,63,Federal A Relegation Zona C,
L,federalarelegationzonad,63,Federal A Relegation Zona D,
L,federalarelegation2ndstage,64,Federal A Relegation 2nd Stage,
L,federalarelegationgroup,65,Federal A Relegation,
L,federalapromotionfinalgroup,66,Federal A Promotion Final Group,
C,federalapromotionplayoff,67,Federal A Promotion Playoff,
C,torneodeverano,70,Torneo de Verano,
C,cup,100,Copa Argentina,
C,copadelasuperliga,110,Copa De La Superliga,
C,copadelasuperligagroupa,111,Copa De La Superliga Group A,
C,copadelasuperligagroupb,112,Copa De La Superliga Group B,
C,copadelaligaprofesional,120,Copa de la Liga Profesional,
L,copaligaprofesionalzona1,120,Copa de la Liga Profesional Zona 1,
L,copaligaprofesionalzona2,121,Copa de la Liga Profesional Zona 2,
L,copaligaprofesionalzona3,122,Copa de la Liga Profesional Zona 3,
L,copaligaprofesionalzona4,123,Copa de la Liga Profesional Zona 4,
L,copaligaprofesionalzona5,124,Copa de la Liga Profesional Zona 5,
L,copaligaprofesionalzona6,125,Copa de la Liga Profesional Zona 6,
C,copadelaligaprofesional,111,Copa De La Liga Profesional,
C,copadiegoarmandomaradonachampionshipgroupa,0,Name, (ARG)
C,copadiegoarmandomaradonachampionshipplayoff,0,Name, (ARG)
C,copadiegoarmandomaradonacopasudamericanaplayoff,0,Name, (ARG)
C,copadiegoarmandomaradonacopasudamericanaplayoffgroupb,0,Name, (ARG)
C,federalachampionshipplayoff,0,Name, (ARG)
C,federalafaseprimerascensozonaa,0,Name, (ARG)
C,federalafaseprimerascensozonab,0,Name, (ARG)
C,federalafasesegundoascensozonab,0,Name, (ARG)
C,primerabmetropolitanafaseprimerascenso,0,Name, (ARG)
C,primerabmetropolitanafasesegundoascensozonaa,0,Name, (ARG)
C,primerabmetropolitanafasesegundoascensozonab,0,Name, (ARG)
C,primerabmetropolitanainstanciaeliminatoria,0,Name, (ARG)
L,copadiegoarmandomaradonazona1,151,Copa Diego Maradona Zona 1,
L,copadiegoarmandomaradonazona2,152,Copa Diego Maradona Zona 2,
L,copadiegoarmandomaradonazona3,153,Copa Diego Maradona Zona 3,
L,copadiegoarmandomaradonazona4,154,Copa Diego Maradona Zona 4,
L,copadiegoarmandomaradonazona5,155,Copa Diego Maradona Zona 5,
L,copadiegoarmandomaradonazona6,156,Copa Diego Maradona Zona 6,
L,copadiegoarmandomaradonachampionshipgroupa,157,Copa Diego Maradona Group A,
L,copadiegoarmandomaradonachampionshipgroupb,158,Copa Diego Maradona Group B,
C,copadiegoarmandomaradonacopasudamericanaplayoffgroupa,159,Copa Diego Maradona Copa Sudamericana Playoff Group A,
C,copadiegoarmandomaradonacopasudamericanaplayoffgroupb,160,Copa Diego Maradona Copa Sudamericana Playoff Group B,
C,copadiegoarmandomaradonachampionshipplayoff,16,Copa Diego Maradona Playoff, (ARG)
			N,ARM,Armenia,910,armenia
			L,premierleague,10,Premier League,
			N,AUS,Australia,40,australia
			L,aleague,10,A-League,
			C,aleagueplayoff,11,A-League Finals,
			L,wleague,11,W-League,
			C,wleagueplayoff,12,W-League Finals,
			C,ffacup,100,FFA Cup,
			N,AUT,Austria,140,austria
			L,bundesliga,10,Bundesliga,
			C,bundesligaqualification,11,Bundesliga,
L,bundesligachampionshipgroup,12,Bundesliga Championship Group,
L,bundesligarelegationgroup,12,Bundesliga Relegation Group,
L,bundesligaeuropaleagueplayoff,12,Bundesliga EL Playoff,
			L,2liga,20,2. Liga,
			C,cup,100,&Ouml;FB-Cup,
			N,AZE,Azerbaijan,820,azerbaijan
			L,premierleague,10,Premyer Liqa,
